Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated
30,55000,Female,HR,Director,05/04/2018,F,"I find my daily tasks engaging, as I became better at organizing my tasks, during ongoing work cycles.",6,6,6,6,0,0,6,0,,,,,,,,
25,NULL,Male,HR,Manager,01/12/2019,C,"I find my daily tasks engaging, as I became better at organizing my tasks, while handling routine duties.",0,5,0,6,0,0,0,0,,,,,,,,
40,55000,Female,HR,Analyst,05/04/2018,C,"I find my daily tasks engaging, as I became better at organizing my tasks, as part of my regular workflow.",6,0,6,0,6,0,0,0,,,,,,,,
25,70000,Male,Finance,Director,01/12/2019,C,"I find my daily tasks engaging, after understanding expectations more clearly, over the past months.",0,6,6,0,6,6,6,0,,,,,,,,
50,NULL,Other,Marketing,Manager,20/02/2020,F,"I find my daily tasks engaging, after understanding expectations more clearly, during my time in this role.",6,5,6,0,0,0,0,0,,,,,,,,
30,65000,Female,HR,Clerk,05/04/2018,D,"I find my daily tasks engaging, after understanding expectations more clearly, as I settled into my responsibilities.",6,6,6,6,0,6,6,0,,,,,,,,
NULL,70000,Male,HR,Assistant,15/01/2020,D,"I find my daily tasks engaging, after understanding expectations more clearly, while adapting to daily routines.",5,0,0,0,0,0,0,0,,,,,,,,
40,50000,Male,IT,Assistant,25/03/2019,A,"I find my daily tasks engaging, after understanding expectations more clearly, through regular collaboration.",6,6,6,0,0,7,0,0,,,,,,,,
30,65000,Other,Finance,Clerk,20/02/2020,F,"I find my daily tasks engaging, after understanding expectations more clearly, while working on assigned tasks.",0,0,6,6,0,6,6,0,,,,,,,,
50,60000,Other,HR,Analyst,05/04/2018,A,"I find my daily tasks engaging, after understanding expectations more clearly, as part of normal operations.",0,6,6,0,6,6,0,0,,,,,,,,
40,50000,Other,IT,Director,01/12/2019,F,"I find my daily tasks engaging, after understanding expectations more clearly, during ongoing work cycles.",6,0,0,0,0,0,0,0,,,,,,,,
35,50000,Female,Sales,Assistant,01/12/2019,A,"I find my daily tasks engaging, after understanding expectations more clearly, while handling routine duties.",6,6,6,6,0,0,0,0,,,,,,,,
25,60000,Male,HR,Clerk,20/02/2020,B,MA,6,6,6,6,0,0,0,7,,,,,,,,
50,NULL,Other,HR,Clerk,25/03/2019,C,"I find my daily tasks engaging, by improving how I plan my work, over the past months.",0,5,0,6,0,6,0,0,,,,,,,,
35,50000,Female,IT,Analyst,01/12/2019,C,"I find my daily tasks engaging, by improving how I plan my work, during my time in this role.",0,6,6,0,0,0,0,0,,,,,,,,
30,65000,Female,Finance,Analyst,15/01/2020,D,"I find my daily tasks engaging, by improving how I plan my work, as I settled into my responsibilities.",6,0,6,0,0,6,6,0,,,,,,,,
NULL,70000,Female,HR,Manager,20/02/2020,B,"I find my daily tasks engaging, by improving how I plan my work, while adapting to daily routines.",5,0,0,0,0,0,0,0,,,,,,,,
40,50000,Other,Sales,Assistant,05/04/2018,C,"I find my daily tasks engaging, by improving how I plan my work, through regular collaboration.",6,6,6,6,0,6,6,0,,,,,,,,
25,65000,Other,HR,Manager,05/04/2018,D,"I find my daily tasks engaging, by improving how I plan my work, while working on assigned tasks.",6,6,0,0,6,0,0,0,,,,,,,,
40,55000,Male,Sales,Clerk,15/01/2020,B,"I find my daily tasks engaging, by improving how I plan my work, as part of normal operations.",0,6,0,6,0,0,0,0,,,,,,,,
30,65000,Male,Marketing,Director,01/12/2019,C,"I find my daily tasks engaging, by improving how I plan my work, during ongoing work cycles.",6,6,6,6,0,6,6,0,,,,,,,,
40,70000,Other,Marketing,Director,20/02/2020,A,"I find my daily tasks engaging, by improving how I plan my work, while handling routine duties.",0,0,6,6,0,0,0,0,,,,,,,,
25,65000,Female,Sales,Analyst,15/01/2020,F,"I find my daily tasks engaging, by improving how I plan my work, as part of my regular workflow.",0,6,6,6,6,6,0,0,,,,,,,,
30,60000,Female,Finance,Director,01/12/2019,B,"I find my daily tasks engaging, through experience working with different people, over the past months.",0,6,6,0,0,6,6,0,,,,,,,,
40,70000,Female,HR,Director,20/02/2020,D,"I find my daily tasks engaging, through experience working with different people, during my time in this role.",0,0,0,0,0,0,0,0,,,,,,,,
NULL,55000,Male,HR,Director,05/04/2018,B,"I find my daily tasks engaging, through experience working with different people, as I settled into my responsibilities.",5,5,0,0,0,0,0,0,,,,,,,,
50,55000,Female,Marketing,Clerk,20/02/2020,D,"I find my daily tasks engaging, through experience working with different people, while adapting to daily routines.",0,0,6,6,0,6,0,0,,,,,,,,
30,60000,Male,Sales,Director,25/03/2019,B,"I find my daily tasks engaging, through experience working with different people, through regular collaboration.",0,6,6,6,0,0,0,0,,,,,,,,
50,NULL,Male,HR,Director,20/02/2020,D,"I find my daily tasks engaging, through experience working with different people, while working on assigned tasks.",0,5,6,6,0,0,0,0,,,,,,,,
30,65000,Female,HR,Director,25/03/2019,C,"I find my daily tasks engaging, through experience working with different people, as part of normal operations.",0,6,6,0,0,0,0,0,,,,,,,,
NULL,70000,Female,Finance,Manager,20/02/2020,A,"I find my daily tasks engaging, through experience working with different people, during ongoing work cycles.",5,0,0,0,0,0,0,0,,,,,,,,
50,55000,Other,IT,Clerk,25/03/2019,C,"I find my daily tasks engaging, through experience working with different people, while handling routine duties.",6,6,0,0,0,6,0,0,,,,,,,,
35,60000,Other,Marketing,Analyst,05/04/2018,A,"I find my daily tasks engaging, through experience working with different people, as part of my regular workflow.",6,6,6,6,0,0,6,0,,,,,,,,
25,NULL,Female,Marketing,Manager,01/12/2019,C,"I find my daily tasks engaging, as I learned to handle feedback constructively, over the past months.",0,5,6,6,0,0,0,0,,,,,,,,
35,NULL,Male,IT,Assistant,25/03/2019,C,"I find my daily tasks engaging, as I learned to handle feedback constructively, during my time in this role.",6,5,0,0,0,0,0,0,,,,,,,,
40,55000,Male,HR,Clerk,25/03/2019,B,MA,0,6,0,0,0,0,6,7,,,,,,,,
NULL,65000,Male,Finance,Clerk,05/04/2018,F,"I find my daily tasks engaging, as I learned to handle feedback constructively, while adapting to daily routines.",5,0,0,0,0,0,0,0,,,,,,,,
35,55000,Male,Finance,Assistant,25/03/2019,D,"I find my daily tasks engaging, as I learned to handle feedback constructively, through regular collaboration.",6,6,6,6,0,0,0,0,,,,,,,,
