Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated
50,65000,Male,HR,Director,2018-04-05,F,"I feel supported in my position, by paying closer attention to details, while handling routine duties.",6,0,6,0,0,0,0,0,,,,,,,,
,65000,Other,IT,Assistant,2020-01-15,B,"I feel supported in my position, by paying closer attention to details, as part of my regular workflow.",5,0,0,0,0,0,0,0,,,,,,,,
,55000,Male,IT,Clerk,2018-04-05,D,Texas,5,0,0,0,0,0,0,7,,,,,,,,
, ,Other,Sales,Manager,2020-02-20,D,MA,5,5,0,0,0,6,0,7,,,,,,,,
25,60000,Male,Sales,Manager,2018-04-05,F,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, as I settled into my responsibilities.",6,6,6,0,6,0,0,0,,,,,,,,
50,55000,Male,IT,Assistant,2020-01-15,D,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, while adapting to daily routines.",0,0,6,0,6,0,0,0,,,,,,,,
25,70000,Female,Marketing,Assistant,2019-12-01,C,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, through regular collaboration.",6,6,6,6,0,0,0,0,,,,,,,,
, ,Other,HR,Clerk,2020-02-20,F,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, while working on assigned tasks.",5,5,0,0,0,0,0,0,,,,,,,,
50,70000,Male,Finance,Clerk,2018-04-05,A,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, as part of normal operations.",6,6,6,6,0,6,0,0,,,,,,,,
50, ,Other,Sales,Director,,B,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, during ongoing work cycles.",0,5,0,0,0,7,0,0,,,,,,,,
40,70000,Other,Finance,Analyst,2019-12-01,B,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, while handling routine duties.",6,6,6,0,0,6,0,0,,,,,,,,
40,55000,Female,Marketing,Clerk,2018-04-05,B,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, as part of my regular workflow.",0,6,6,6,0,6,0,0,,,,,,,,
30, ,Female,Sales,Assistant,2018-04-05,C,"I am developing stronger work habits, as I became better at organizing my tasks, over the past months.",0,5,6,0,0,0,0,0,,,,,,,,
35, ,Female,Finance,Clerk,2020-02-20,A,"I am developing stronger work habits, as I became better at organizing my tasks, during my time in this role.",0,5,0,0,0,0,0,0,,,,,,,,
40,65000,Female,Marketing,Manager,2020-02-20,F,"I am developing stronger work habits, as I became better at organizing my tasks, as I settled into my responsibilities.",0,6,0,6,0,6,0,0,,,,,,,,
25,65000,Female,HR,Analyst,2020-01-15,F,"I am developing stronger work habits, as I became better at organizing my tasks, while adapting to daily routines.",6,0,6,6,0,6,6,0,,,,,,,,
40,50000,Female,Marketing,Director,2019-12-01,B,"I am developing stronger work habits, as I became better at organizing my tasks, through regular collaboration.",6,0,6,6,0,6,0,0,,,,,,,,
30,70000,Female,Sales,Manager,2020-01-15,A,"I am developing stronger work habits, as I became better at organizing my tasks, while working on assigned tasks.",0,0,6,6,0,0,6,0,,,,,,,,
50,65000,Female,IT,Manager,2018-04-05,A,"I am developing stronger work habits, as I became better at organizing my tasks, as part of normal operations.",0,0,6,0,0,0,0,0,,,,,,,,
30,50000,Male,HR,Analyst,2020-02-20,A,"I am developing stronger work habits, as I became better at organizing my tasks, during ongoing work cycles.",6,0,0,0,0,0,6,0,,,,,,,,
50,65000,Other,Finance,Director,2018-04-05,D,"I am developing stronger work habits, as I became better at organizing my tasks, while handling routine duties.",0,0,6,0,0,0,0,0,,,,,,,,
50,70000,Female,Sales,Assistant,2018-04-05,D,"I am developing stronger work habits, as I became better at organizing my tasks, as part of my regular workflow.",0,6,6,0,0,0,0,0,,,,,,,,
35, ,Female,IT,Director,2019-03-25,B,"I am developing stronger work habits, after understanding expectations more clearly, over the past months.",0,5,0,0,0,0,0,0,,,,,,,,
40,60000,Other,Marketing,Clerk,2019-03-25,A,"I am developing stronger work habits, after understanding expectations more clearly, during my time in this role.",0,6,6,6,0,6,6,0,,,,,,,,
25,70000,Male,IT,Manager,2018-04-05,A,"I am developing stronger work habits, after understanding expectations more clearly, as I settled into my responsibilities.",0,6,6,6,0,0,0,0,,,,,,,,
25,55000,Other,Sales,Clerk,2020-02-20,F,"I am developing stronger work habits, after understanding expectations more clearly, while adapting to daily routines.",0,0,0,0,6,0,0,0,,,,,,,,
,65000,Other,Sales,Assistant,2018-04-05,F,"I am developing stronger work habits, after understanding expectations more clearly, through regular collaboration.",5,0,0,0,0,0,0,0,,,,,,,,
50,65000,Female,IT,Clerk,2019-03-25,B,"I am developing stronger work habits, after understanding expectations more clearly, while working on assigned tasks.",0,0,0,6,0,0,0,0,,,,,,,,
25, ,Other,Marketing,Director,2020-02-20,A,"I am developing stronger work habits, after understanding expectations more clearly, as part of normal operations.",0,5,0,6,0,0,0,0,,,,,,,,
35,55000,Other,IT,Clerk,2018-04-05,B,"I am developing stronger work habits, after understanding expectations more clearly, during ongoing work cycles.",6,6,6,6,0,6,0,0,,,,,,,,
50, ,Female,Sales,Assistant,2019-12-01,F,"I am developing stronger work habits, after understanding expectations more clearly, while handling routine duties.",0,5,6,0,0,6,0,0,,,,,,,,
35,55000,Female,Sales,Assistant,2019-12-01,F,"I am developing stronger work habits, after understanding expectations more clearly, as part of my regular workflow.",0,6,6,6,6,6,0,0,,,,,,,,
25,60000,Female,Finance,Assistant,2018-04-05,D,"I am developing stronger work habits, by improving how I plan my work, over the past months.",0,6,6,6,6,6,6,0,,,,,,,,
25, ,Female,Finance,Director,2020-02-20,B,"I am developing stronger work habits, by improving how I plan my work, during my time in this role.",6,7,6,6,0,6,0,0,,,,,,,,
,65000,Other,HR,Assistant,2018-04-05,B,"I am developing stronger work habits, by improving how I plan my work, as I settled into my responsibilities.",5,0,0,0,0,0,0,0,,,,,,,,
25,60000,Other,Sales,Manager,2018-04-05,A,"I am developing stronger work habits, by improving how I plan my work, while adapting to daily routines.",0,0,6,0,0,0,0,0,,,,,,,,
50,50000,Male,Finance,Assistant,2019-03-25,A,"I am developing stronger work habits, by improving how I plan my work, through regular collaboration.",0,0,6,6,0,6,0,0,,,,,,,,
50, ,Male,IT,Clerk,2019-12-01,D,"I am developing stronger work habits, by improving how I plan my work, while working on assigned tasks.",6,5,6,0,0,0,0,0,,,,,,,,
50,60000,Other,Marketing,Clerk,2019-03-25,C,"I am developing stronger work habits, by improving how I plan my work, as part of normal operations.",0,0,6,6,0,6,0,0,,,,,,,,
, ,Male,IT,Clerk,2019-03-25,C,"I am developing stronger work habits, by improving how I plan my work, during ongoing work cycles.",5,5,0,0,0,0,0,0,,,,,,,,
,70000,Other,Marketing,Director,2018-04-05,C,"I am developing stronger work habits, by improving how I plan my work, while handling routine duties.",5,0,0,0,0,0,0,0,,,,,,,,
25,65000,Male,Finance,Clerk,2019-03-25,B,"I am developing stronger work habits, by improving how I plan my work, as part of my regular workflow.",0,0,6,6,0,6,0,0,,,,,,,,
30, ,Female,HR,Director,2019-12-01,B,"I am developing stronger work habits, through experience working with different people, over the past months.",0,5,0,0,6,0,0,0,,,,,,,,
30,55000,Male,IT,Director,2019-03-25,F,"I am developing stronger work habits, through experience working with different people, during my time in this role.",0,0,6,6,0,0,6,0,,,,,,,,
, ,Female,IT,Assistant,2019-12-01,B,"I am developing stronger work habits, through experience working with different people, as I settled into my responsibilities.",5,5,0,0,0,0,6,0,,,,,,,,
25,70000,Female,IT,Manager,2019-03-25,B,"I am developing stronger work habits, through experience working with different people, while adapting to daily routines.",6,0,6,6,0,0,0,0,,,,,,,,
30,65000,Female,Marketing,Assistant,2019-12-01,B,"I am developing stronger work habits, through experience working with different people, through regular collaboration.",0,6,6,0,6,0,0,0,,,,,,,,
25,60000,Female,Finance,Assistant,2019-03-25,D,"I am developing stronger work habits, through experience working with different people, while working on assigned tasks.",6,0,6,0,0,6,6,0,,,,,,,,
25,70000,Male,IT,Director,2019-03-25,B,"I am developing stronger work habits, through experience working with different people, as part of normal operations.",6,6,6,6,0,6,0,0,,,,,,,,
25,65000,Other,IT,Director,2020-02-20,A,"I am developing stronger work habits, through experience working with different people, during ongoing work cycles.",6,0,0,0,0,0,0,0,,,,,,,,
40, ,Female,HR,Clerk,2019-12-01,A,"I am developing stronger work habits, through experience working with different people, while handling routine duties.",0,5,0,0,0,6,6,0,,,,,,,,
50,50000,Male,HR,Clerk,2019-12-01,F,"I am developing stronger work habits, through experience working with different people, as part of my regular workflow.",0,0,0,0,0,0,6,0,,,,,,,,
25,50000,Female,Finance,Assistant,2019-12-01,D,"I am developing stronger work habits, as I learned to handle feedback constructively, over the past months.",6,6,6,6,0,6,6,0,,,,,,,,
40,55000,Male,Finance,Analyst,2020-01-15,A,"I am developing stronger work habits, as I learned to handle feedback constructively, during my time in this role.",0,0,6,0,0,6,6,0,,,,,,,,
,65000,Male,Sales,Analyst,2019-03-25,D,"I am developing stronger work habits, as I learned to handle feedback constructively, as I settled into my responsibilities.",5,0,0,0,0,0,0,0,,,,,,,,
30,50000,Male,HR,Clerk,2019-12-01,D,"I am developing stronger work habits, as I learned to handle feedback constructively, while adapting to daily routines.",0,6,6,6,0,0,6,0,,,,,,,,
50,60000,Other,Sales,Analyst,2020-01-15,F,"I am developing stronger work habits, as I learned to handle feedback constructively, through regular collaboration.",6,0,6,6,0,0,6,0,,,,,,,,
,65000,Male,Marketing,Clerk,2020-02-20,D,"I am developing stronger work habits, as I learned to handle feedback constructively, while working on assigned tasks.",7,0,6,0,0,6,0,0,,,,,,,,
50,60000,Male,Sales,Director,2019-12-01,B,"I am developing stronger work habits, as I learned to handle feedback constructively, as part of normal operations.",6,6,6,6,6,0,0,0,,,,,,,,
30,60000,Other,IT,Assistant,2019-12-01,D,"I am developing stronger work habits, as I learned to handle feedback constructively, during ongoing work cycles.",6,0,0,0,6,0,0,0,,,,,,,,
50,50000,Other,Sales,Manager,2020-01-15,F,"I am developing stronger work habits, as I learned to handle feedback constructively, while handling routine duties.",0,0,0,6,0,0,0,0,,,,,,,,
30,65000,Male,Finance,Assistant,2019-03-25,F,"I am developing stronger work habits, as I learned to handle feedback constructively, as part of my regular workflow.",6,6,0,6,0,0,0,0,,,,,,,,
30, ,Other,Marketing,Clerk,2020-02-20,F,"I am developing stronger work habits, by becoming more aware of priorities, over the past months.",0,5,6,0,0,6,6,0,,,,,,,,
